codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,total_recomendacoes,ocorrencia_dia_hora,regiao
78978,78978,INCIDENTE,CAMPINAS,SP,NA,0,2019-10-18 11:16:00,SUDESTE
78979,78979,INCIDENTE,CAMPINAS,SP,SBKP,0,2019-10-18 17:40:00,SUDESTE
78982,78982,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2019-10-18 00:46:00,SUDESTE
78793,78793,ACIDENTE,PARÁ DE MINAS,MG,SNPA,1,2019-10-19 10:26:00,SUDESTE
78980,78980,INCIDENTE GRAVE,BELO HORIZONTE,MG,NA,0,2019-10-19 10:30:00,SUDESTE
78981,78981,INCIDENTE GRAVE,ARARAS,SP,NA,0,2019-10-19 19:15:00,SUDESTE
78983,78983,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,NA,0,2019-10-19 14:00:00,SUDESTE
78984,78984,INCIDENTE,BOA VISTA,RR,NA,0,2019-10-20 14:11:00,NORTE
78985,78985,INCIDENTE,MANAUS,AM,NA,0,2019-10-20 17:55:00,NORTE
78745,78745,ACIDENTE,BELO HORIZONTE,MG,NA,0,2019-10-21 11:15:00,SUDESTE
78986,78986,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2019-10-21 10:35:00,SUDESTE
78987,78987,INCIDENTE,BELO HORIZONTE,MG,NA,0,2019-10-22 18:18:00,SUDESTE
79117,79117,ACIDENTE,ASSIS BRASIL,AC,NA,0,2019-10-23 15:00:00,NORTE
78988,78988,INCIDENTE,BRAGANÇA PAULISTA,SP,NA,0,2019-10-24 10:15:00,SUDESTE
78989,78989,INCIDENTE,CAMPINAS,SP,NA,0,2019-10-24 17:40:00,SUDESTE
78990,78990,INCIDENTE GRAVE,NOVA UBIRATÃ,MT,NA,0,2019-10-24 11:30:00,CENTRO
78991,78991,INCIDENTE GRAVE,LUCAS DO RIO VERDE,MT,NA,0,2019-10-26 20:45:00,CENTRO
78992,78992,INCIDENTE,SALVADOR,BA,NA,0,2019-10-26 14:07:00,NORTEDESTE
78993,78993,INCIDENTE GRAVE,CAÇAPAVA,SP,NA,0,2019-10-26 18:47:00,SUDESTE
78994,78994,INCIDENTE,POUSO ALEGRE,MG,NA,0,2019-10-27 13:35:00,SUDESTE
78995,78995,INCIDENTE,SÃO JOSÉ,SC,NA,0,2019-10-28 13:30:00,SUL
78996,78996,INCIDENTE,CAMPINAS,SP,NA,0,2019-10-28 02:15:00,SUDESTE
78997,78997,INCIDENTE,BELO HORIZONTE,MG,NA,0,2019-10-30 13:06:00,SUDESTE
78998,78998,INCIDENTE GRAVE,SÃO PAULO,SP,NA,0,2019-10-31 11:15:00,SUDESTE
78742,78742,ACIDENTE,LUZIÂNIA,GO,SWUZ,0,2019-11-01 20:45:00,CENTRO
78999,78999,INCIDENTE,GUARULHOS,SP,NA,0,2019-11-01 18:36:00,SUDESTE
79000,79000,INCIDENTE GRAVE,QUIRINÓPOLIS,GO,NA,0,2019-11-01 21:10:00,CENTRO
79001,79001,INCIDENTE,RODEIO,SC,NA,0,2019-11-06 12:02:00,SUL
79002,79002,INCIDENTE,PORTO ALEGRE,RS,NA,0,2019-11-06 04:15:00,SUL
